   2.4560225e-09	   1.1665548e-19	   6.9665328e-20	   4.3000000e+01	   1.9622159e-19	
   4.6374385e-09	   2.0146960e-19	   6.9263026e-20	   1.9000000e+01	   2.2046739e-19	
   5.9112022e-09	   2.4938816e-19	   6.0048717e-20	   3.5000000e+01	   2.3371092e-19	
   7.3029330e-09	   2.4764445e-19	   3.0318128e-20	   2.2000000e+01	   2.4741059e-19	
   9.0392922e-09	   2.8409063e-19	   3.1106834e-20	   3.0000000e+00	   2.6337470e-19	
   1.0672447e-08	   2.9402539e-19	   3.4917030e-20	   3.0000000e+00	   2.7724714e-19	
   1.2313936e-08	   2.9982652e-19	   3.6903742e-20	   2.0000000e+00	   2.9007408e-19	
   1.3812611e-08	   3.0547816e-19	   3.9578175e-20	   2.0000000e+00	   3.0080772e-19	
   1.5474074e-08	   3.0196299e-19	   4.0611601e-20	   2.0000000e+00	   3.1161690e-19	
   1.7278547e-08	   3.1621731e-19	   4.1652664e-20	   2.0000000e+00	   3.2205767e-19	
   1.9183138e-08	   3.1312268e-19	   4.3248909e-20	   2.0000000e+00	   3.3161069e-19	
   2.0661756e-08	   3.0774746e-19	   4.4158006e-20	   1.0000000e+00	   3.3798825e-19	
   2.2114028e-08	   3.0946949e-19	   4.3798089e-20	   2.0000000e+00	   3.4336823e-19	
   2.3923203e-08	   3.2672969e-19	   4.2564742e-20	   2.0000000e+00	   3.4884500e-19	
   2.5849444e-08	   4.1238961e-19	   4.1171126e-20	   5.0000000e+00	   3.5318190e-19	
